,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
860,2021-01-06,00:38:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59338,DataChannelOpened,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
861,2021-01-06,00:38:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59338,DataChannelClosed,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
862,2021-01-06,00:38:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,LIST,-a,226,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,/ftp6001/Send/ServerLink
863,2021-01-06,00:38:38,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,REST,0,350,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
864,2021-01-06,00:39:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
865,2021-01-06,00:39:38,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PWD,-,257,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
866,2021-01-06,00:40:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PWD,-,257,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
867,2021-01-06,00:40:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
868,2021-01-06,00:40:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
869,2021-01-06,00:40:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59341,DataChannelOpened,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
870,2021-01-06,00:40:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59341,DataChannelClosed,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
871,2021-01-06,00:40:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,LIST,-a,226,0,0,15,66620a67-e8d8-474d-8ba8-6c604058c9f0,/ftp6001/Send/ServerLink
872,2021-01-06,00:40:39,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,I,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
873,2021-01-06,00:41:09,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
874,2021-01-06,00:41:39,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,REST,0,350,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
875,2021-01-06,00:41:59,172.30.5.84,-,172.30.9.85,21,ControlChannelOpened,-,-,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
876,2021-01-06,00:41:59,172.30.5.84,-,172.30.9.85,21,USER,HOST0001,331,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
877,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PASS,***,230,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,/
878,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,XPWD,-,257,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
879,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
880,2021-01-06,00:41:59,172.30.5.84,RGSV920\HOST0001,172.30.9.85,21,PORT,"172,30,5,84,199,133",200,0,0,0,22807393-e279-4b12-b05c-5a16f86da4e7,-
