timestamp,c-ip,count,timestamp_ts
2021-08-21,172.30.9.84,6542,6587.0
2021-08-21,172.31.124.1,235,1830.0
2021-08-21,172.31.74.120,314,324.0
2021-08-21,172.31.74.28,1,2.0
2021-08-22,10.161.32.87,10665,13654.0
2021-08-22,10.161.38.190,1,1.0
2021-08-22,10.161.54.255,15,205.0
2021-08-22,10.168.56.49,1832,2351.0
2021-08-22,172.30.4.122,5,7.0
2021-08-22,172.30.9.84,2912,2939.0
2021-08-22,172.31.124.1,85,722.0
2021-08-22,172.31.74.120,49,49.0
2021-08-23,10.161.32.87,22723,29163.0
2021-08-23,10.161.38.190,458,1834.0
2021-08-23,10.161.54.255,737,2188.0
2021-08-23,10.168.56.49,3475,4773.0
2021-08-23,10.169.60.142,3,7.0
2021-08-23,172.26.241.178,2,138.0
2021-08-23,172.28.69.82,1,1.0
2021-08-23,172.28.85.145,3,19.0
2021-08-23,172.28.85.21,3,3.0
2021-08-23,172.28.92.63,1,2.0
2021-08-23,172.29.80.7,9,9.0
2021-08-23,172.30.4.122,1,1.0
2021-08-23,172.30.5.214,1,849.0
2021-08-23,172.30.9.84,6519,6634.0
2021-08-23,172.31.124.1,410,1302.0
2021-08-23,172.31.124.31,2,8.0
2021-08-23,172.31.74.120,784,797.0
2021-08-23,192.168.66.80,1,143.0
2021-08-24,10.161.32.87,22056,29119.0
2021-08-24,10.161.38.190,497,1723.0
2021-08-24,10.161.54.255,1238,3025.0
2021-08-24,10.168.56.49,3432,4879.0
2021-08-24,10.169.60.142,3,6.0
2021-08-24,172.26.241.178,5,306.0
2021-08-24,172.26.241.179,13,2743.0
2021-08-24,172.26.245.129,14,4927.0
2021-08-24,172.28.69.82,1,1.0
2021-08-24,172.28.85.145,1,10.0
2021-08-24,172.28.85.21,1,2.0
2021-08-24,172.28.92.63,1,2.0
2021-08-24,172.29.80.7,9,9.0
2021-08-24,172.30.4.122,6,9.0
2021-08-24,172.30.6.96,1,5176.0
2021-08-24,172.30.9.84,6495,6631.0
2021-08-24,172.31.124.1,533,2469.0
2021-08-24,172.31.124.31,3,13.0
2021-08-24,172.31.74.120,747,751.0
2021-08-24,172.31.74.28,1,3.0
2021-08-24,192.168.66.80,1,210.0
2021-08-25,10.161.32.87,21827,29237.0
2021-08-25,10.161.38.190,599,2203.0
2021-08-25,10.161.54.255,1221,3026.0
2021-08-25,10.168.56.49,3462,4801.0
2021-08-25,10.169.60.142,3,8.0
2021-08-25,172.26.241.178,2,172.0
2021-08-25,172.26.241.179,1,1347.0
2021-08-25,172.26.244.11,1,218.0
2021-08-25,172.26.245.129,3,967.0
2021-08-25,172.28.69.82,1,1.0
2021-08-25,172.28.85.145,1,11.0
2021-08-25,172.28.85.21,1,1.0
2021-08-25,172.28.92.63,1,2.0
2021-08-25,172.29.80.7,9,9.0
2021-08-25,172.30.4.122,6,8.0
2021-08-25,172.30.9.84,6523,6646.0
2021-08-25,172.31.124.1,533,2463.0
2021-08-25,172.31.124.31,2,8.0
2021-08-25,172.31.74.120,918,941.0
2021-08-25,172.31.74.28,1,2.0
2021-08-26,10.161.32.87,22131,29092.0
2021-08-26,10.161.38.190,459,1854.0
2021-08-26,10.161.54.255,1198,2983.0
2021-08-26,10.168.56.49,3102,4417.0
2021-08-26,10.169.60.142,3,11.0
2021-08-26,172.26.241.178,5,586.0
2021-08-26,172.28.69.82,1,1.0
2021-08-26,172.28.85.145,1,12.0
2021-08-26,172.28.85.21,1,1.0
2021-08-26,172.28.92.63,1,2.0
2021-08-26,172.29.80.7,9,10.0
2021-08-26,172.30.4.122,6,8.0
2021-08-26,172.30.5.129,2,270.0
2021-08-26,172.30.9.84,6494,6621.0
2021-08-26,172.31.124.1,532,2367.0
2021-08-26,172.31.124.31,4,15.0
2021-08-26,172.31.74.120,832,850.0
2021-08-26,172.31.74.28,1,2.0
2021-08-27,10.161.32.87,22056,29185.0
2021-08-27,10.161.38.190,499,2231.0
2021-08-27,10.161.54.255,1321,3216.0
2021-08-27,10.168.56.49,3102,4360.0
2021-08-27,10.169.60.142,3,9.0
2021-08-27,172.26.241.178,2,116.0
2021-08-27,172.28.69.82,1,1.0
2021-08-27,172.28.85.145,1,11.0
2021-08-27,172.28.85.21,1,1.0
2021-08-27,172.28.92.63,1,2.0
2021-08-27,172.29.80.7,9,9.0
2021-08-27,172.30.4.122,6,10.0
2021-08-27,172.30.9.84,6493,6621.0
